Hotel BW,109,Campo Grande (MS),2,60.39,120.78,01/02/2020,2
Hotel BP,240,Brasilia (DF),4,247.62,990.48,01/02/2020,3
Hotel K,638,Salvador (BH),1,263.41,263.41,01/02/2020,5
Hotel AF,836,Sao Paulo (SP),1,139.1,139.1,01/02/2020,8
Hotel AF,1190,Sao Paulo (SP),1,139.1,139.1,01/02/2020,11
Hotel A,1819,Florianopolis (SC),1,313.02,313.02,01/02/2020,16
Hotel AU,3374,Recife (PE),2,312.83,625.66,01/02/2020,34
Hotel BW,3581,Campo Grande (MS),4,60.39,241.56,01/02/2020,36
Hotel AF,4572,Sao Paulo (SP),1,139.1,139.1,01/02/2020,46
Hotel AU,4715,Recife (PE),4,312.83,1251.32,01/02/2020,47
Hotel CB,4851,Rio de Janeiro (RJ),2,165.99,331.98,01/02/2020,48
Hotel AF,4893,Sao Paulo (SP),3,139.1,417.3,01/02/2020,49
Hotel AF,5046,Sao Paulo (SP),1,139.1,139.1,01/02/2020,50
Hotel CB,5858,Rio de Janeiro (RJ),3,165.99,497.97,01/02/2020,59
Hotel K,6234,Salvador (BH),1,263.41,263.41,01/02/2020,62
Hotel BW,6840,Campo Grande (MS),4,60.39,241.56,01/02/2020,66
Hotel K,7322,Salvador (BH),4,263.41,1053.64,01/02/2020,70
Hotel BW,7591,Campo Grande (MS),4,60.39,241.56,01/02/2020,73
Hotel K,7764,Salvador (BH),1,263.41,263.41,01/02/2020,75
Hotel A,8514,Florianopolis (SC),3,313.02,939.06,01/02/2020,83
Hotel AF,8759,Sao Paulo (SP),4,139.1,556.4,01/02/2020,86
Hotel CB,8786,Rio de Janeiro (RJ),4,165.99,663.96,01/02/2020,88
Hotel AF,8844,Sao Paulo (SP),3,139.1,417.3,01/02/2020,90
Hotel BD,9031,Natal (RN),4,242.88,971.52,01/02/2020,91
Hotel A,9626,Florianopolis (SC),2,313.02,626.04,01/02/2020,96
Hotel CB,9901,Rio de Janeiro (RJ),1,165.99,165.99,01/02/2020,100
Hotel AU,10094,Recife (PE),1,312.83,312.83,01/02/2020,102
Hotel A,10519,Florianopolis (SC),1,313.02,313.02,01/02/2020,106
Hotel BW,10671,Campo Grande (MS),2,60.39,120.78,01/02/2020,107
Hotel AF,10816,Sao Paulo (SP),3,139.1,417.3,01/02/2020,108
Hotel Z,11351,Aracaju (SE),3,208.04,624.12,01/02/2020,112
Hotel CB,11662,Rio de Janeiro (RJ),4,165.99,663.96,01/02/2020,114
Hotel K,11688,Salvador (BH),2,263.41,526.82,01/02/2020,115
Hotel K,11865,Salvador (BH),2,263.41,526.82,01/02/2020,116
Hotel CB,12577,Rio de Janeiro (RJ),3,165.99,497.97,01/02/2020,122
Hotel A,12750,Florianopolis (SC),4,313.02,1252.08,01/02/2020,125
Hotel K,12799,Salvador (BH),3,263.41,790.23,01/02/2020,126
Hotel CB,13789,Rio de Janeiro (RJ),3,165.99,497.97,01/02/2020,136
Hotel AF,13807,Sao Paulo (SP),1,139.1,139.1,01/02/2020,137
Hotel CB,14190,Rio de Janeiro (RJ),2,165.99,331.98,01/02/2020,141
Hotel Z,14220,Aracaju (SE),2,208.04,416.08,01/02/2020,142
Hotel AF,14267,Sao Paulo (SP),3,139.1,417.3,01/02/2020,143
Hotel BD,14547,Natal (RN),2,242.88,485.76,01/02/2020,146
Hotel BP,14737,Brasilia (DF),1,247.62,247.62,01/02/2020,147
Hotel A,14940,Florianopolis (SC),4,313.02,1252.08,01/02/2020,149
Hotel BD,15101,Natal (RN),2,242.88,485.76,01/02/2020,150
Hotel AU,15676,Recife (PE),4,312.83,1251.32,01/02/2020,156
Hotel A,15806,Florianopolis (SC),1,313.02,313.02,01/02/2020,157
Hotel AF,16231,Sao Paulo (SP),2,139.1,278.2,01/02/2020,161
Hotel BD,16572,Natal (RN),1,242.88,242.88,01/02/2020,165
Hotel CB,16749,Rio de Janeiro (RJ),3,165.99,497.97,01/02/2020,168
Hotel BD,17251,Natal (RN),2,242.88,485.76,01/02/2020,173
Hotel CB,17325,Rio de Janeiro (RJ),2,165.99,331.98,01/02/2020,174
Hotel AF,17523,Sao Paulo (SP),4,139.1,556.4,01/02/2020,175
Hotel K,17660,Salvador (BH),4,263.41,1053.64,01/02/2020,176
Hotel BP,18154,Brasilia (DF),1,247.62,247.62,01/02/2020,180
Hotel BD,18386,Natal (RN),3,242.88,728.64,01/02/2020,182
Hotel AF,18690,Sao Paulo (SP),2,139.1,278.2,01/02/2020,184
Hotel A,19494,Florianopolis (SC),4,313.02,1252.08,01/02/2020,190
Hotel A,20261,Florianopolis (SC),4,313.02,1252.08,01/02/2020,196
Hotel K,20870,Salvador (BH),1,263.41,263.41,01/02/2020,205
Hotel A,21166,Florianopolis (SC),3,313.02,939.06,01/02/2020,208
Hotel BD,22000,Natal (RN),2,242.88,485.76,01/02/2020,216
Hotel BW,22221,Campo Grande (MS),4,60.39,241.56,01/02/2020,218
Hotel BD,22621,Natal (RN),1,242.88,242.88,01/02/2020,221
Hotel CB,24904,Rio de Janeiro (RJ),3,165.99,497.97,01/02/2020,242
Hotel CB,25888,Rio de Janeiro (RJ),3,165.99,497.97,01/02/2020,249
