employee_title,domain
 Driver ,Admin
 Security Guard,Admin
 Junior Welder,Admin
 Medical Receptionist,Admin
 Hostess,Admin
 Cleaner,Admin
 Executive Janitorial Assistant,Admin
 Executive Assistant,Admin
 General Labourer,Admin
 General Laborer,Admin
 Clerk,Admin
 Administrative Assistant,Admin
 Facility Manager,Admin
 Leasing Agent,Admin
 Executive Chef,Admin
 Apple Specialist ,Admin
 Technical Support,Admin
 Apple Technical Specialist,Admin
 Phone Operator,Admin
 Expert,Admin
 Tech Support,Admin
 Genius,Admin
 Mailman,Admin
 Janitor,Admin
 Family Room Specialist,Admin
 Waitress,Admin
 Technical Support Specialist,Admin
 Runner,Admin
 Watcher,Admin
 Technical Support Agent,Admin
 Senior Site Reliability Engineer,Admin
 Facilities Coordinator,Admin
 Assistant,Admin
 Labourer,Admin
 Worker,Admin
 Unemployed,Admin
 Support Worker,Admin
 Child Care Worker,Admin
 Facilities Technician,Admin
 Support Specialist,Admin
 Fresher,Admin
 Individual Contributor,Admin
 Master Plumber,Admin
 Personal Assistant,Admin
Anonymous,Admin
 Sub,Admin
 Box manager,Admin
 N/A,Admin
 Driver,Admin
 Non,Admin
 Mcdonalds Crew Member,Admin
 Critical Facility Engineer,Admin
 Security Engineer,Admin
 FRS,Admin
 Nursing Student,Admin
 OTX,Admin
 MSC,Admin
 Spécialiste,Admin
 In,Admin
 Mathematics Teacher,Admin
" ""Delegado comercial, área internacional""",Admin
 NONE,Admin
 Family Service Counselor,Admin
 Anonymous,Admin
 Camera Rental House Tech,Admin
 Actor,Admin
 No Name,Admin
 AIG,Admin
 Solutions Architect,Analytics
 Data Analyst,Analytics
 Analyst,Analytics
 Alexa Data Services,Analytics
 Data Scientist,Analytics
 ML Data Associate,Analytics
 Programmer Analyst,Analytics
 Quest Designer,Analytics
 Business Analyst,Analytics
 Data Engineer,Analytics
 ML Data Associate II,Analytics
 Principal Solutions Architect,Analytics
 Research Scientist,Analytics
 Data Science,Analytics
 Client Solutions Manager,Analytics
 Computer Science,Analytics
 Solutions Engineer,Analytics
 Visiting Researcher,Analytics
 Machine Learning Engineer,Analytics
 Data Science Manager,Analytics
 Partner Solutions Manager,Analytics
 Advanced Business Analyst,Analytics
 Senior Applied Scientist,Analytics
 Digital Analyst,Analytics
 Senior Data Scientist,Analytics
 Architect,Analytics
 Analyst/In,Analytics
 Technical Solutions Engineer,Analytics
 Analytical Lead,Analytics
 Data,Analytics
 Senior Analyst,Analytics
 Database Manager,Analytics
 Senior Data Engineer,Analytics
 Software Engineer (Machine Learning),Analytics
 Transaction Risk Investigator (TRMS),Finance
 Account Executive,Finance
