date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sat Jan 16 2021, Warehouse Associate,"Bolton, ON",Current Employee ,Good,0,"Very good environment in the workplace
","I have not find any deficiency in my workplace
Helpfu",,5,5,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Sun Feb 14 2021, Warehouse Worker,"Toronto, ON",Current Employee ,Good service,0,"Hard working in this job
","Friendly working in management coverage
Advice to Management
No
Helpfu","No
Helpfu",4,5,4,4,4,5,Recommends,Positive Outlook,Approves of CEO
Wed Feb 10 2021, Supervisor,,Current Employee ,nothing,0,"Company provide a good salary
","a lot of physical work
Helpfu",,5,4,3,4,,,,,
Thu Feb 11 2021,Anonymous,"Vancouver, BC",Current Employee ,Amazing place to learn and grow,0,"Work on exciting products, growing businesses. Learn from really smart people. Very generous compensation, highest in Vancouver.
","You work very hard but you learn a tonne and can grow and get promoted quickly.
",,5,3,3,4,5,5,Recommends,Positive Outlook,Approves of CEO
Wed Feb 10 2021, Software Engineer II,"Vancouver, BC",Current Employee ,good company with oppotunities,0,"career opportunities; career opportunities; career opportunities
","toxic competition culture; toxic competition culture
",,4,3,3,5,5,4,Recommends,Neutral Outlook,No Opinion of CEO
Thu Feb 11 2021, Warehouse Associate,"Scarborough, ON",Current Employee ,Great Company,0,"Competitive salary, amazing work culture, professional manager supervision
","Long work shifts, poor snacks stations.
",,4,4,5,5,4,4,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Human Resources Business Partner HRBP,"Vancouver, BC",Current Employee ,Great experience,0,"Based on leadership principles and behavioural
","Very different experience than other companies
Helpfu",,5,4,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, FC Associate I,,Former Employee ,Long hours but rewarding,0,"benefits, job security, career growth
","Long working hours and less work life balance
Helpfu",,5,3,4,5,5,5,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Associate,"Calgary, AB",Current Employee ,Very good,0,"Lots of overtime for extra moneu
","None so far that I’m aware of
Helpfu",,5,,,,,,,,
Wed Feb 10 2021, Software Engineer II,"Vancouver, BC",Current Employee ,good company with oppotunities,0,"career opportunities; career opportunities; career opportunities
","toxic competition culture; toxic competition culture
Advice to Management
keep talent for long term
Helpfu","keep talent for long term
Helpfu",4,3,3,5,5,4,Recommends,Neutral Outlook,No Opinion of CEO
Thu Feb 11 2021, Warehouse Associate,"Scarborough, ON",Current Employee ,Great Company,0,"Competitive salary, amazing work culture, professional manager supervision
","Long work shifts, poor snacks stations.
Advice to Management
Break down work shift in short periods in order to increase productivity
Helpfu","Break down work shift in short periods in order to increase productivity
Helpfu",4,4,5,5,4,4,Recommends,Positive Outlook,Approves of CEO
Wed Feb 10 2021, Warehouse Associate,,Current Employee ,Must recommend,0,"Awesome easy positive hardworking magnificent
","Nothing, busy, tired, time consuming, boring
Helpfu",,5,5,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Software Development Engineer II,"Vancouver, BC",Current Employee ,The most challenging job in my life,1,#NAME?,"- 10-12 hrs working day is not a rare thing
- Broken WLB
- Business projects lack of technical innovation
- Some projects are deadline-driven
Helpful (1",,5,2,5,5,5,4,Recommends,Positive Outlook,Approves of CEO
Tue Feb 09 2021, Program Manager,,Current Employee ,Good Company,0,#NAME?,#NAME?,,4,2,3,4,4,4,,,
Wed Feb 10 2021,Anonymous,,Former Employee ,AWS employment,0,"opportunities to work with global team; good pay for first 2 years with signing bonus
","too much time in meetings and writing docs; a matrix structure
Helpfu",,4,2,3,4,5,4,Recommends,Positive Outlook,No Opinion of CEO
Tue Feb 09 2021, Virtual Ops Support,,Current Employee ,Best place to work,0,"Good culture with lots of fun
","No comments! No comments ! No comments !
Helpfu",,5,3,5,,,,Approves of CEO,,
Tue Feb 09 2021, Warehouse Associate,"Toronto, ON",Former Employee ,Good company,0,"very nice place to work for everyone
","always very busy because of covid
Helpfu",,4,3,3,3,3,3,Recommends,Positive Outlook,No Opinion of CEO
Tue Feb 09 2021, Warehouse Associate,"Toronto, ON",Former Employee ,Worker,0,"Great benefits for health and dental
","Heavy work loads and very long shifts
",,4,2,2,3,4,5,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Sales Associate,"Brampton, ON",Former Employee ,Good environment,0,"They provide good benefits and pay rate
","They have too long shift
",,5,5,5,3,4,5,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Partner Sales Manager,"Toronto, ON",Current Employee ,"Great organization, but hell of a pace",0,"Great organization full for really smart people and really ambitious ideas
","The ambition of the company can be overwhelming. Trying to do everything can burn out the people who have to achieve the lofty goals of the organization
",,4,2,5,4,4,5,Recommends,Positive Outlook,
Sat Feb 06 2021, Associate,"Mississauga, ON",Current Employee ,Fulfillment Associate,0,"All personal are human and helpful. Best insurance and benefits
","It’s shift is too Long. 10 hours
",,4,3,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Sales Associate,"Brampton, ON",Former Employee ,Good environment,0,"They provide good benefits and pay rate
","They have too long shift
Advice to Management
Nothing
Helpfu","Nothing
Helpfu",5,5,5,3,4,5,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Partner Sales Manager,"Toronto, ON",Current Employee ,"Great organization, but hell of a pace",0,"Great organization full for really smart people and really ambitious ideas
","The ambition of the company can be overwhelming. Trying to do everything can burn out the people who have to achieve the lofty goals of the organization
Advice to Management
Be careful of the influx of new staff that will add a layer of politics to the organization. The true pure spirit of achievement is the most important to success. Only personal agendas will short circuit the amazing spirit of success so far.
Helpfu","Be careful of the influx of new staff that will add a layer of politics to the organization. The true pure spirit of achievement is the most important to success. Only personal agendas will short circuit the amazing spirit of success so far.
Helpfu",4,2,5,4,4,5,Recommends,Positive Outlook,
Sat Feb 06 2021, Associate,"Mississauga, ON",Current Employee ,Fulfillment Associate,0,"All personal are human and helpful. Best insurance and benefits
","It’s shift is too Long. 10 hours
Advice to Management
Share more experience with those who are eager to get promoted
Helpfu","Share more experience with those who are eager to get promoted
Helpfu",4,3,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Amazon Area Manager,"Vancouver, BC",Current Employee ,New Graduate Dream Job,0,"You get to learn so much about logistics and people management. Very strong focus on personal development.
","Hours are long. But you work 4 days so its fair.
Helpfu",,5,3,4,5,5,4,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Process Assistant,,Current Employee ,good workplace,0,"good work place to work
","none, just hard work and its good
Helpfu",,5,,,,,,,,
Wed Feb 03 2021, Specialist,,Former Employee ,Na,0,"Good company to work for.. work life balance
","Salary is not that attractive and nothing extra
Helpfu",,4,3,4,4,3,1,,,
Thu Feb 04 2021, Business Administration,"Toronto, ON",Former Employee ,Worth it,0,"Great brand and looks amazing on your resume
","Long work hours and not suited if you're not willing to commit.
",,4,4,4,4,4,4,Doesn't Recommend,Positive Outlook,No Opinion of CEO
Tue Feb 02 2021, Warehouse Associate,"Brampton, ON",Current Employee ,great working environment,0,"daily new learning
diversity in culture
","very long shift
sometimes health issues
Helpfu",,5,4,5,5,4,5,,,
Wed Feb 03 2021, Associate,"Nisku, AB",Current Employee ,Excellent,0,"Best to work in environments
","Peak seasons are very tiring
Helpfu",,5,5,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
