date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Thu Feb 11 2021, Software Engineer,"North Toronto, ON",Former Employee ,good,0,"cool tech making process and overall well thought out
","lot of work to work here but worth it
Helpfu",,5,5,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Wed Feb 10 2021, Inventory Specialist,"Vancouver, BC",Former Employee ,Great benefits and culture,0,"A lot of fundamental learning (feedback and customer service) that will apply to any other job.
","Culture can be a bit overwhelming.
Helpfu",,5,4,5,5,4,5,Recommends,Positive Outlook,Approves of CEO
Wed Feb 10 2021, Technical Specialist,"Ottawa, ON",Former Employee ,Great Working Environment and Team,0,"I loved working here so very much, great training too
","None that I can think of
Helpfu",,5,,,,,,,,
Tue Feb 09 2021, Security Engineer,"Toronto, ON",Current Employee ,"Great place, great benefits",0,"Good culture and good pay
","None I can think of
Helpfu",,5,5,5,,,,,,
Mon Feb 08 2021, Apple Specialist ,"Winnipeg, MB",Former Employee ,Great company to work with,0,"Good benefits and Stoc sharing
","Overall good. People from minority groups are among the last ones picked for promotion.
Advice to Management
Practice diversity in reality
Helpfu","Practice diversity in reality
Helpfu",5,4,4,3,3,5,Recommends,Positive Outlook,Approves of CEO
Mon Feb 08 2021, Lead Genius,"Toronto, ON",Current Employee ,great place to feel valued,0,#NAME?,#NAME?,,5,2,5,5,3,5,Recommends,Positive Outlook,
Thu Feb 04 2021, Senior Software Engineer,"Toronto, ON",Former Employee ,Had a great time,0,"Worked with a great group of people.
","No cons for me, nothing to complain about.
Helpfu",,5,3,5,5,4,5,Recommends,Positive Outlook,No Opinion of CEO
Sun Jan 31 2021, Specialist,"Calgary, AB",Former Employee ,Amazing experience,0,"Supportive management- very diverse, multi cultural and friendly environment - people are authentic and genuinely love what they are doing. Continuous learning experience from a technology and people perspective. Best job I ever had. Also the salary and benefits were great
","Work life balance - rotating shifts and have to work weekends
",,5,2,5,5,5,5,Recommends,,Approves of CEO
Thu Jan 28 2021, Sales,,Former Employee ,Good,0,"Good to their good employees
","Cool aid drink it or don’t
Helpfu",,5,,,,,,,,
Wed Feb 10 2021, Technical Specialist,"Coquitlam, BC",Former Employee ,Good Company,0,#NAME?,#NAME?,,4,,,,,,,,
