date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Thu Jan 14 2021, Software Engineer,"Toronto, ON",Current Employee ,awesome place to work,0,"great employees, great missing, perks
","some people may dislike you.
Helpfu",,5,,,,,,,,
Wed Feb 10 2021, Senior Software Developer,"Vancouver, BC",Current Employee ,Okay,0,"Location and salary and people and cafe
","Management needs to look in the future
Helpfu",,1,,,,,,,,
Fri Jan 15 2021, Research Scientist,,Former Employee ,Okay work,0,"Smart people and lots of freedom.
","Hard job to get and I found the work uninspiring.
Helpfu",,4,,,,,,,,
Wed Jan 13 2021, Client Partner,"Toronto, ON",Former Employee ,N/A,0,"Work with a good team
","High expectations on growth rates quarter over quarter
Helpfu",,3,,,,,,,,
Mon Dec 14 2020, User Experience Researcher,"Montreal, QC",Current Employee ,6,0,"good and friendly for using to connect.
","none one cons I can think about.
Helpfu",,5,2,2,2,3,2,Recommends,Positive Outlook,Approves of CEO
Fri Dec 11 2020,Anonymous,,Former Employee ,Amazing company,0,"Everything is great in here.
","No cons of any kind
Helpfu",,5,5,5,5,5,5,Recommends,Positive Outlook,Disapproves of CEO
Fri Dec 04 2020, Enterprise Account Executive,"Sydney, NS",Former Employee ,Pretty good,0,"I use fun tech often.
","Big challenges sometimes. So, yeah.
Helpfu",,5,,,,,,,,
Wed Dec 16 2020, Enginerring,"Vancouver, BC",Current Employee ,Black lesbian trans women,0,"Diversity is important in a company
","Other than that I am a chronic liar, NONW
Advice to Management
Get good
Helpfu","Get good
Helpfu",4,5,1,2,4,3,Recommends,Positive Outlook,Disapproves of CEO
Sat Oct 31 2020, Data Science,"Toronto, ON",Current Employee ,Great,0,"Team is okay, too corporate
","Burned out, too much work
Helpfu",,5,,,,,,,,
Thu Oct 29 2020, Legal Project Manager,"Toronto, ON",Current Employee ,Making the world a better place,0,"1) I have the flexibility & have a great deal of input into defining the best approach to my work. 2) Collaborative open environment (lack of silos I've seen elsewhere). 3) Active diversity and inclusion programs. 4) Encouraged to be my authentic self. 5) I always feel encouraged and supported. 6) The work is meaningful and impactful. 7) I feel cared for. 8) Benefits are amazing.
","I simply don't have any. It's not a cop out.. FB simply rocks and I love it.
",,5,5,5,5,4,4,Recommends,Positive Outlook,Approves of CEO
