date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Thu Feb 11 2021, Software Engineer,,Current Employee ,I just want to use this site,0,"i love google it is good
","no cons, keep up the good work
Helpfu",,5,5,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Software Engineer,"Toronto, ON",Current Employee ,Google is great if you want to work for an awesome thoughtful company,1,"High pay
Free food
Colleagues are smarter than me
","Do the same thing everyday
Helpful (1",,5,,,,,,,,
Tue Feb 02 2021, Data Engineer,"Toronto, ON",Current Employee ,Pros and cons,1,"and cons""
5.0
★★★★★
Current Employee - Data Engineer in Toronto, ON
I have been working at Google full-time
Pros
Good to work and nice environment
","More salary increments needed I think
Helpful (1",,5,,,,,,,,
Sat Feb 06 2021, Software Engineer,"Toronto, ON",Former Employee ,Good company,0,"Good company to work at
","Great company to work for
Helpfu",,5,,,,,,,,
Thu Feb 04 2021, Staff Software Engineer,"Waterloo, ON",Current Employee ,Great company!,0,"Lots of interesting problems, great opportunity to work on many different products and areas.
","Big company so it's possible to get caught in bad projects/teams, but ease of mobility helps.
Helpfu",,5,5,5,4,5,5,,,
Wed Feb 03 2021, Account Executive,"Montreal, QC",Former Employee ,Amazing company filled with smart people,0,"Amazing colleagues, perks and exciting internal projects
","the self evaluation system can push some people to focus mostly on what will look good on their perf vs the great good for their team / customers
",,5,3,5,5,4,5,Recommends,Neutral Outlook,Approves of CEO
Tue Feb 02 2021, Software Developer,,Former Employee ,great,0,"awesome pay, it really was
","google, not bing, but google
Helpfu",,5,,,,,,,,
Tue Feb 02 2021, Software Engineer,,Current Employee ,Best company to work at,0,"Best company to work at
","Can't think of any cons
Helpfu",,5,5,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Software Engineer,"St. John's, NL",Former Employee ,"good company to grow, good",0,"good company to grow, good
","its not bad company to be
Helpfu",,5,5,5,5,5,5,,,
Wed Jan 27 2021, Staff Software Developer,"Kitchener, ON",Current Employee ,"Excellent compensation, excellent workplace culture",1,"* Compensation (and perks) * Cooperative culture * Terrific management * Focus on work-life balance and employee well-being
","* Working with many talented engineers can lead to imposter syndrome * (Pre-COVID) limited work-from-home opportunity
",,5,5,5,5,5,5,,,
Wed Jan 27 2021, Staff Software Developer,"Kitchener, ON",Current Employee ,"Excellent compensation, excellent workplace culture",1,"* Compensation (and perks)
* Cooperative culture
* Terrific management
* Focus on work-life balance and employee well-being
","* Working with many talented engineers can lead to imposter syndrome
* (Pre-COVID) limited work-from-home opportunity
Helpful (1",,5,5,5,5,5,5,,,
Wed Jan 27 2021, Software Developer,"Waterloo, ON",Current Employee ,n/a its ight,1,"n/a cool place tbh wiht nice food
","n/a management is lacks but amazing too
Helpful (1",,5,5,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Thu Jan 28 2021, Software Engineer,,Former Employee ,Great,0,"This place was really good
","This place was really hard
Helpfu",,5,,,,,,,,
