date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Tue Aug 18 2020, Production Assistant,"Vancouver, BC",Current Employee ,Respectful & Inclusive Environment,0,"Communication is always respectful and I appreciate the number of women working in the company.
","I haven't had any negative experiences yet.
Helpfu",,5,4,5,4,4,5,Recommends,Positive Outlook,Approves of CEO
Sat Nov 30 2019, Costume Coordinator,,Current Employee ,Great place,0,"No pros other than long hours
","Pay well, good benefits and nice people
Helpfu",,5,,,,,,,,
Thu Sep 20 2018,Anonymous,,Current Employee ,How much does a functioning human cost?,515,#NAME?,"I have been working for a year at Netflix.

I've seen what was supposed to be very mature people, sharing absolutely almost no contact that anyone would qualify as ""human"".
Sure, that sounds hyperbolic, let me develop (and maybe cherry-pick a little).

Have you heard about our culture? The one about giving candid feedback? - I have seen people complaining of behavior they literally demonstrated themselves in the following days.
But I have also seen these feedbacks resulting in tears both in the eyes of HR persons or fellow engineers. How human does that sound?

Have you heard about our culture? The one about not tolerating brilliant jerks? I have nonetheless seen angriness and frustration, expressed in private, public and meeting. People rejecting new ideas by default, like, any ideas they wouldn't have worked themselves on for days wouldn't count. Even if those ideas are from the best examples in the industry or academics. How many publications/contributions have you seen from Netflix to computer science in general? How does it compare against any other company of that size in the Bay Area? Can you imagine either the real insecurity (x)or the lack of innovation that could lead to this situation?

Except for a few managers, directors or VPs feeling free enough to behave at work in the same way than how they live, almost every engineer I have been interacting with, have shared as little as possible about their private life.
The rare exceptions of interpersonal exchange ends up around some sort of competitive behavior: Who is the most geeky, sportive, owns the fastest car/biggest house/visited the strangest place.

I've heard workaholic people complaining about ambitious peers who were over-managing, over-working to get even more work to do after. I feel like we're past workaholism at this point.

Maybe there are a lot of shy people! Maybe there is a culture of fear, not only of being fired, but also a fear of interacting with people going to be fired.
Maybe it's all in my head, maybe people giving 5 stars to their experience here don't care the human aspect of a company. And maybe they're right.

What about your crush, your fears, your desires for the future, your appetite for life? I've been blessed to work in enough large companies to know that the behavior that I'm seeing in Netflix is not a healthy one. I've also been lucky enough to work in other industries more socializing than tech and I can tell that Netflix has a lot to do on that side, and off-sites or team meeting won't solve that problem.

I am afraid about the tragic, but inevitable consequences of the ways people operate in this company: I guess that the day the worst will happen, it will be addressed in an impersonal memo by Reed; followed-up by 1 or 2 reminders during offsites. Possibly commented by HR in a Q&A document. And move on. This company seems as reactive in its management of people as it is proactive in its business operations.

I still work at Netflix though, not only for the paycheck, but because I hope. I hope it will change. The needed change can't happen from a candid feedback, a Q&A, or only from inside.
Change has to come from everyone, including people who take time to read comments like this one. Netflix has so many good people and offers such a great service.

As a curious Netflix employee reading this review: think about your past, isn't there a big human thing that you would love to feel again in your current company that you've felt in the past?

As a candidate: think about what would be a good question to ask to that HR partner once your package is almost here to be offered to you, think about that comment you make at the end of an interview when you're being asked by an engineer: ""Do you have any question for me?""
What Netflix needs is an inception, something that anyone and everyone would think about after leaving the call or the room they were sharing with you.
Ask yourself, and then the others, the question you should ask if you think you want to spend a good amount of your life and energy in the place you're applying for.

- Will I learn and contribute to the knowledge of other's? Even outside the company?
- Will I see emotional responses from my peers? Will that be for other reasons than being fired or bluntly criticized?
- Will I find a friendly environment that will nurture my appetite for life?
- What is the amount of emotional interaction (celebrating, sharing, playing) to expect from a company whose service is the best to ""entertain""?
- Do androids dream of electric sheep?
Advice to Management
Ask yourself those questions
Helpful (515","Ask yourself those questions
",3,2,1,5,5,4,Doesn't Recommend,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Manager,,Former Employee ,Great place to work,1,"Surrounded by really smart people, interesting work
","None that I can think of
Helpful (1",,5,3,5,5,5,5,Recommends,,Approves of CEO
Sat Feb 06 2021, Executive Assistant,"Los Angeles, CA",Current Employee ,Amazing company,0,"Great leadership, open communication, flexible time off policy, competitive pay, everything and ore you'd expect from this company.
","none that I can think of
",,5,5,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Wed Feb 03 2021, Analyst,"Los Angeles, CA",Former Employee ,Great company,0,"Solid company would recommend working for
","Work a lot, expect to work long hours
Helpfu",,5,1,4,3,3,4,Recommends,Neutral Outlook,No Opinion of CEO
Mon Feb 01 2021, Business Analyst,"London, England",Current Employee ,Business Analyst,0,"Good, Work Life, Entrepreneurial, Fun
","None that I can think of
Helpfu",,5,,,,,,,,
Wed Feb 10 2021, Director,Singapore,Former Employee ,Too good to be true,1,"High remuneration, diversity, risk taking
","Lacking in empathy, messy, impostor syndrome inducing (mythical utopia) work culture
Helpful (1",,3,3,3,4,3,5,Doesn't Recommend,Positive Outlook,Approves of CEO
Thu Feb 11 2021, Manager,"Los Angeles, CA",Current Employee ,Not the place it used to be...,0,"Great salary, competent leadership, ownership
","Zero growth opportunities for BIPOC
Helpfu",,3,2,5,2,2,5,Recommends,Neutral Outlook,Approves of CEO
Wed Jan 27 2021, Associate,"Los Angeles, CA",Current Employee ,"Half year in, mostly positives",0,#NAME?,#NAME?,,5,4,5,5,4,5,Recommends,Positive Outlook,No Opinion of CEO
Mon Jan 25 2021,Anonymous,"Los Gatos, CA",Former Employee ,"Solid Workplace, Some Scale and Growth Pains",1,"Amazing comp, some really great people, good work-life balance, emphasis on employee empowerment and autonomy, wonderful offices (except those LA elevators).
","Consensus across groups or orgs can be really challenging. Growing pains around maintaining culture at scale are a problem. A few people believe they are far stronger at their role than they actually are.
Advice to Management
Figure out how to pair your teams with the architects around the company. Be a champion for shared needs while maintaining a level of the shelter and protections for your teams that you provide today.
Helpful (1","Figure out how to pair your teams with the architects around the company. Be a champion for shared needs while maintaining a level of the shelter and protections for your teams that you provide today.
",5,5,5,4,2,5,Recommends,Positive Outlook,Approves of CEO
Mon Jan 25 2021, Senior Data Scientist,,Current Employee ,great culture,0,"salary, freedom and responsibility, salary, unlimited time off, stunning colleagues
","stressful work environment due to fast pace
Helpfu",,5,3,5,5,3,5,Recommends,Positive Outlook,
Sun Feb 07 2021, Marketing Manager,"Los Angeles, CA",Current Employee ,Fast pace,0,"Competitive but you learn a lot from working as a lead in Netflix culture
","Time consuming- work life balance might be hard to hold while you're working here but you get what you need
",,4,2,4,5,4,5,Recommends,Positive Outlook,
Mon Feb 08 2021, Production Coordinator,"Hollywood, CA",Former Employee ,Not worth the perks,3,"Incredible benefits and health coverage with competitive pay
","Unrealistic timelines and work hours
",,2,1,2,1,3,5,Doesn't Recommend,Neutral Outlook,
Mon Feb 08 2021, CSR,,Former Employee ,"Great culture, great people",0,"great people managers were very approachable on-the-spot feedback snacks and food for a small fee per month
","back2back calls ultra busy as we were expanding in EMEA region and lack of CSR due to the rapid expansion
",,4,3,5,5,4,4,Recommends,Positive Outlook,Approves of CEO
Thu Feb 04 2021, Language and Localization Specialist,"Los Gatos, CA",Former Employee ,no 2 days are alike,2,"So much to learn, great team members, very friendly and diverse environment. Free meals and snacks. Free shuttles, unlimited vacations. A space for growth in certain teams.
","Cut throat environment, Netflix culture in the globalization team was discussed but not seriously implemented. Fear from the team leadership. Hard to maintain work-life balance. Could be extremely stressful due to lack of support from management.
",,3,2,2,4,3,5,Doesn't Recommend,Neutral Outlook,Approves of CEO
Fri Feb 05 2021, Marketing,"Los Angeles, CA",Former Employee ,Changing,0,"It's Netflix so part of faang
","It's netflix so very competitive
Helpfu",,4,2,4,3,4,5,Recommends,Negative Outlook,Approves of CEO
Fri Jan 22 2021, Production Supervisor,"New York, NY",Former Employee ,Great Employer,0,Socially ,"ious company with great benefits
Cons
Growing too fast to keep organized.
Helpfu",,5,4,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Manager,"San Francisco, CA",Current Employee ,Great company bad leadership,1,"Great company brand but culture and leadership makes the job tougher than it should be
","Constant changes that don’t make sense
Helpful (1",,3,,,,,,,,
